"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","24-Jul-2020","        253.05","        254.00","        255.50","        249.00","        252.30","        252.30","        251.89","     532001","           134007013.80","       8866","     211972","         39.84"
"RAYMOND","EQ","27-Jul-2020","        252.30","        253.00","        254.00","        247.85","        248.50","        248.50","        249.26","     369510","            92104546.50","       6538","     158876","         43.00"
"RAYMOND","EQ","28-Jul-2020","        248.50","        252.50","        253.90","        242.10","        245.05","        245.20","        246.91","     705359","           174157372.45","      12472","     337075","         47.79"
"RAYMOND","EQ","29-Jul-2020","        245.20","        246.95","        253.50","        239.50","        240.00","        241.65","        245.93","    1304417","           320797358.65","      18373","     622044","         47.69"
"RAYMOND","EQ","30-Jul-2020","        241.65","        243.00","        244.65","        239.00","        240.95","        240.55","        241.98","     539625","           130580982.30","      13159","     245080","         45.42"
"RAYMOND","EQ","31-Jul-2020","        240.55","        240.60","        241.55","        236.25","        239.65","        239.10","        238.95","     420437","           100464690.20","       8243","     169071","         40.21"
"RAYMOND","EQ","03-Aug-2020","        239.10","        240.00","        240.95","        233.35","        236.25","        236.00","        236.23","     546895","           129193499.15","       8953","     218169","         39.89"
"RAYMOND","EQ","04-Aug-2020","        236.00","        238.00","        252.10","        235.30","        251.30","        250.05","        245.02","    1406887","           344715523.95","      18263","     492361","         35.00"
"RAYMOND","EQ","05-Aug-2020","        250.05","        258.40","        262.40","        252.55","        258.40","        258.30","        258.28","    2019453","           521590799.95","      24222","     693848","         34.36"
"RAYMOND","EQ","06-Aug-2020","        258.30","        260.00","        260.00","        252.35","        255.00","        255.20","        255.20","     541588","           138212357.25","       8838","     193556","         35.74"
"RAYMOND","EQ","07-Aug-2020","        255.20","        255.75","        255.75","        251.55","        254.45","        254.15","        253.45","     456832","           115782546.80","       7984","     179621","         39.32"
"RAYMOND","EQ","10-Aug-2020","        254.15","        255.80","        265.70","        255.00","        260.65","        260.45","        261.74","    1401688","           366881332.05","      19525","     529801","         37.80"
